date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-07-09,sh.600000,11.0683034800,11.0683034800,10.7794081200,10.8245480200,10.9599677200,91311738,1101713242.0000,2,0.324900,1,-1.235600,5.883868,1.795314,18.726750,0.686360,0
2020-07-10,sh.600000,10.8155200400,10.9148278200,10.4273169000,10.4724568000,10.8245480200,78611864,925839420.0000,2,0.279700,1,-3.252700,5.692483,1.736918,18.117623,0.664035,0
2020-07-13,sh.600000,10.4724568000,10.6981563000,10.4363448800,10.5266246800,10.4724568000,96564333,1128297577.0000,2,0.343600,1,0.517200,5.721927,1.745902,18.211335,0.667469,0
2020-07-14,sh.600000,10.4814847800,10.5537086200,10.2287013400,10.2738412400,10.5266246800,79944260,919482272.0000,2,0.284500,1,-2.401400,5.584522,1.703976,17.774013,0.651441,0
2020-07-15,sh.600000,10.3550930600,10.3550930600,10.0571697200,10.0932816400,10.2738412400,92438310,1042128861.0000,2,0.328900,1,-1.757500,5.486376,1.674029,17.461640,0.639992,0
2020-07-16,sh.600000,10.1564775000,10.3641210400,10.1113376000,10.1113376000,10.0932816400,96614162,1094090004.0000,2,0.343800,1,0.178900,5.496193,1.677025,17.492884,0.641137,0
2020-07-17,sh.600000,10.2648132600,10.2828692200,10.0842536600,10.1745334600,10.1113376000,68639480,771657319.0000,2,0.244200,1,0.625000,5.530544,1.687506,17.602214,0.645144,0
2020-07-20,sh.600000,10.2196733600,10.4453728600,10.1745334600,10.4002329600,10.1745334600,78766518,901216619.0000,2,0.280300,1,2.218300,5.653227,1.724940,17.992681,0.659455,0
2020-07-21,sh.600000,10.4634288200,10.4814847800,10.2918972000,10.4182889200,10.4002329600,55004587,632576750.4800,2,0.195700,1,0.173600,5.663041,1.727934,18.023918,0.660600,0
2020-07-22,sh.600000,10.4273169000,10.6078765000,10.3821770000,10.4905127600,10.4182889200,98687637,1147395851.0800,2,0.351200,1,0.693200,5.702300,1.739913,18.148867,0.665180,0
2020-07-23,sh.600000,10.4619524800,10.4619524800,10.1002107200,10.3191596800,10.4905110400,86806896,937319747.4400,2,0.308900,1,-1.633400,5.319529,1.623120,16.930613,0.620529,0
2020-07-24,sh.600000,10.2620425600,10.2810816000,9.9003008000,9.9193398400,10.3191596800,72886391,769923511.0200,2,0.259300,1,-3.874500,5.113422,1.560232,16.274629,0.596487,0
2020-07-27,sh.600000,10.0430936000,10.0430936000,9.8241446400,9.8717422400,9.9193398400,44655910,465608566.0200,2,0.158900,1,-0.479800,5.088885,1.552745,16.196536,0.593624,0
2020-07-28,sh.600000,9.9574179200,10.0335740800,9.8527032000,9.8907812800,9.8717422400,32599274,339999710.6400,2,0.116000,1,0.192900,5.098700,1.555740,16.227774,0.594769,0
2020-07-29,sh.600000,9.8527032000,10.0335740800,9.8241446400,10.0050155200,9.8907812800,45256602,474093212.7100,2,0.161000,1,1.155000,5.157588,1.573708,16.415197,0.601639,0
2020-07-30,sh.600000,10.0050155200,10.0240545600,9.9003008000,9.9003008000,10.0050155200,40443481,422561053.5800,2,0.143900,1,-1.046600,5.103607,1.557237,16.243392,0.595342,0
2020-07-31,sh.600000,9.9098203200,10.0145350400,9.8146251200,9.8622227200,9.9003008000,65368427,679850126.0200,2,0.232600,1,-0.384600,5.083978,1.551248,16.180918,0.593052,0
2020-08-03,sh.600000,9.9003008000,9.9764569600,9.8717422400,9.9098203200,9.8622227200,56272005,586201746.4000,2,0.200200,1,0.482600,5.108515,1.558734,16.259011,0.595914,0
